pocket,own_score,cross_score,n_mols,specificity,arm
complex_000382,-8.626456999999998,-7.680537833333333,20.0,0.9459191666666653,control_r1
complex_000387,-8.769026,-6.889199333333334,20.0,1.8798266666666663,control_r1
complex_000394,-7.656406,-7.487390666666667,20.0,0.1690153333333324,control_r1
complex_000400,-9.3280035,-7.495601166666666,20.0,1.8324023333333335,control_r1
complex_000403,-7.669093999999999,-7.768362833333333,20.0,-0.09926883333333336,control_r1
complex_000411,-7.494588500000001,-6.928995666666666,20.0,0.5655928333333344,control_r1
complex_000426,-7.324358999999999,-7.333265666666667,20.0,-0.008906666666667284,control_r1
complex_000456,-6.838699,-6.657706833333333,20.0,0.18099216666666695,control_r1
complex_000472,-8.8354405,-7.760736166666667,20.0,1.074704333333334,control_r1
complex_000473,-6.421828499999999,-6.372456,20.0,0.0493724999999996,control_r1
complex_000477,-6.5845545,-7.0806458333333335,20.0,-0.4960913333333332,control_r1
complex_000506,-6.416242,-6.943480833333334,20.0,-0.5272388333333344,control_r1
complex_000535,-7.3187584999999995,-7.275564833333333,20.0,0.04319366666666635,control_r1
complex_000540,-8.3698,-8.056380666666666,20.0,0.31341933333333394,control_r1
