arm,pocket,receptor,mol_idx,score
critic_r0,complex_000059,complex_000059,17,-8.14787
critic_r0,complex_000059,complex_000059,18,-9.5533
critic_r0,complex_000059,complex_000059,19,-7.70551
critic_r0,complex_000063,complex_000376,0,-10.61038
critic_r0,complex_000063,complex_000376,1,-9.01768
critic_r0,complex_000063,complex_000376,2,-6.5594
critic_r0,complex_000063,complex_000376,3,-6.2309
critic_r0,complex_000063,complex_000376,4,-9.5083
critic_r0,complex_000063,complex_000376,5,-10.15104
critic_r0,complex_000063,complex_000376,6,-8.7374
critic_r0,complex_000063,complex_000376,7,-8.37937
critic_r0,complex_000063,complex_000376,8,-9.5008
critic_r0,complex_000063,complex_000376,9,-8.92316
critic_r0,complex_000063,complex_000376,10,-7.6955
critic_r0,complex_000063,complex_000376,11,-7.62487
critic_r0,complex_000063,complex_000376,12,-5.9794
critic_r0,complex_000063,complex_000376,13,-7.47606
critic_r0,complex_000063,complex_000376,14,-5.36873
critic_r0,complex_000063,complex_000376,15,-5.58157
critic_r0,complex_000063,complex_000376,16,-6.07704
critic_r0,complex_000063,complex_000376,17,-6.45625
critic_r0,complex_000063,complex_000376,18,-5.51394
critic_r0,complex_000063,complex_000376,19,-8.3121
critic_r0,complex_000001,complex_000266,0,-8.03514
critic_r0,complex_000001,complex_000266,1,-6.32258
critic_r0,complex_000001,complex_000266,2,-7.72177
critic_r0,complex_000001,complex_000266,3,-7.98102
critic_r0,complex_000001,complex_000266,4,-6.02963
critic_r0,complex_000001,complex_000266,5,-9.23423
critic_r0,complex_000001,complex_000266,6,-5.5492
critic_r0,complex_000001,complex_000266,7,-6.75378
critic_r0,complex_000001,complex_000266,8,-5.37149
critic_r0,complex_000001,complex_000266,9,-8.36836
critic_r0,complex_000001,complex_000266,10,-9.41682
critic_r0,complex_000001,complex_000266,11,-7.9913
critic_r0,complex_000001,complex_000266,12,-10.74066
critic_r0,complex_000001,complex_000266,13,-8.998
critic_r0,complex_000001,complex_000266,14,-7.15605
critic_r0,complex_000001,complex_000266,15,-7.79986
critic_r0,complex_000001,complex_000266,16,-7.22519
critic_r0,complex_000001,complex_000266,17,-7.47627
critic_r0,complex_000001,complex_000266,18,-8.32473
critic_r0,complex_000001,complex_000266,19,-6.75573
critic_r0,complex_000059,complex_000363,0,-7.84712
critic_r0,complex_000059,complex_000363,1,-7.41137
critic_r0,complex_000059,complex_000363,2,-6.49664
critic_r0,complex_000059,complex_000363,3,-7.52775
critic_r0,complex_000059,complex_000363,4,-10.78786
critic_r0,complex_000059,complex_000363,5,-8.51563
critic_r0,complex_000059,complex_000363,6,-9.24368
critic_r0,complex_000059,complex_000363,7,-7.9374
critic_r0,complex_000059,complex_000363,8,-6.68244
critic_r0,complex_000059,complex_000363,9,-10.59818
critic_r0,complex_000059,complex_000363,10,-7.27769
critic_r0,complex_000059,complex_000363,11,-8.17337
critic_r0,complex_000059,complex_000363,12,-9.40519
critic_r0,complex_000059,complex_000363,13,-9.8909
critic_r0,complex_000059,complex_000363,14,-11.21282
critic_r0,complex_000059,complex_000363,15,-8.22815
critic_r0,complex_000059,complex_000363,16,-9.68459
critic_r0,complex_000059,complex_000363,17,-8.3702
critic_r0,complex_000059,complex_000363,18,-8.70008
critic_r0,complex_000059,complex_000363,19,-8.23129
critic_r0,complex_000059,complex_000382,0,-7.28188
critic_r0,complex_000059,complex_000382,1,-7.13988
critic_r0,complex_000059,complex_000382,2,-6.78373
critic_r0,complex_000059,complex_000382,3,-7.11303
critic_r0,complex_000059,complex_000382,4,-10.2164
critic_r0,complex_000059,complex_000382,5,-8.69154
critic_r0,complex_000059,complex_000382,6,-8.93598
critic_r0,complex_000059,complex_000382,7,-6.97464
critic_r0,complex_000059,complex_000382,8,-6.87708
critic_r0,complex_000059,complex_000382,9,-10.77252
critic_r0,complex_000059,complex_000382,10,-7.35812
critic_r0,complex_000059,complex_000382,11,-8.45972
critic_r0,complex_000059,complex_000382,12,-10.02848
critic_r0,complex_000059,complex_000382,13,-9.6364
critic_r0,complex_000059,complex_000382,14,-10.87936
critic_r0,complex_000059,complex_000382,15,-8.51316
critic_r0,complex_000059,complex_000382,16,-9.62439
critic_r0,complex_000059,complex_000382,17,-9.26198
critic_r0,complex_000059,complex_000382,18,-9.06537
critic_r0,complex_000059,complex_000382,19,-8.21044
critic_r0,complex_000063,complex_000411,0,-10.5359
critic_r0,complex_000063,complex_000411,1,-8.49072
critic_r0,complex_000063,complex_000411,2,-6.40056
critic_r0,complex_000063,complex_000411,3,-5.63374
critic_r0,complex_000063,complex_000411,4,-8.42055
critic_r0,complex_000063,complex_000411,5,-10.15791
critic_r0,complex_000063,complex_000411,6,-8.76972
critic_r0,complex_000063,complex_000411,7,-8.0119
critic_r0,complex_000063,complex_000411,8,-9.28115
critic_r0,complex_000063,complex_000411,9,-8.19136
critic_r0,complex_000063,complex_000411,10,-7.07494
critic_r0,complex_000063,complex_000411,11,-7.0149
critic_r0,complex_000063,complex_000411,12,-5.49989
critic_r0,complex_000063,complex_000411,13,-7.10577
critic_r0,complex_000063,complex_000411,14,-5.83013
critic_r0,complex_000063,complex_000411,15,-5.48307
critic_r0,complex_000063,complex_000411,16,-5.46503
critic_r0,complex_000063,complex_000411,17,-6.27345
critic_r0,complex_000063,complex_000411,18,-5.0886
critic_r0,complex_000063,complex_000411,19,-7.3188
critic_r0,complex_000051,complex_000473,0,-6.62475
critic_r0,complex_000051,complex_000473,1,-8.40127
critic_r0,complex_000051,complex_000473,2,-7.68245
critic_r0,complex_000051,complex_000473,3,-6.69623
critic_r0,complex_000051,complex_000473,4,-6.65911
critic_r0,complex_000051,complex_000473,5,-7.14131
critic_r0,complex_000051,complex_000473,6,-7.998
critic_r0,complex_000051,complex_000473,7,-6.43266
critic_r0,complex_000051,complex_000473,8,-6.89637
critic_r0,complex_000051,complex_000473,9,-6.83731
critic_r0,complex_000051,complex_000473,10,-5.56912
critic_r0,complex_000051,complex_000473,11,-5.41107
critic_r0,complex_000051,complex_000473,12,-7.25856
critic_r0,complex_000051,complex_000473,13,-6.88979
critic_r0,complex_000051,complex_000473,14,-4.96489
critic_r0,complex_000051,complex_000473,15,-4.96333
critic_r0,complex_000051,complex_000473,16,-6.47936
critic_r0,complex_000051,complex_000473,17,-5.84594
critic_r0,complex_000051,complex_000473,18,-4.3369
critic_r0,complex_000051,complex_000473,19,-7.05474
