arm,pocket,receptor,mol_idx,score
critic_r1,complex_000059,complex_000266,6,-9.22927
critic_r1,complex_000059,complex_000266,7,-9.76161
critic_r1,complex_000059,complex_000266,8,-7.4709
critic_r1,complex_000059,complex_000266,9,-6.43107
critic_r1,complex_000059,complex_000266,10,-7.41909
critic_r1,complex_000059,complex_000266,11,-9.61161
critic_r1,complex_000059,complex_000266,12,-8.92235
critic_r1,complex_000059,complex_000266,13,-9.39276
critic_r1,complex_000059,complex_000266,14,-9.03005
critic_r1,complex_000059,complex_000266,15,-7.59962
critic_r1,complex_000059,complex_000266,16,-8.66496
critic_r1,complex_000059,complex_000266,17,-8.61514
critic_r1,complex_000059,complex_000266,18,-9.27779
critic_r1,complex_000059,complex_000266,19,-7.22948
critic_r1,complex_000059,complex_000292,0,-5.95447
critic_r1,complex_000059,complex_000292,1,-7.01117
critic_r1,complex_000059,complex_000292,2,-7.86077
critic_r1,complex_000059,complex_000292,3,-7.61459
critic_r1,complex_000059,complex_000292,4,-6.31488
critic_r1,complex_000059,complex_000292,5,-8.50708
critic_r1,complex_000059,complex_000292,6,-7.25268
critic_r1,complex_000059,complex_000292,7,-7.30656
critic_r1,complex_000059,complex_000292,8,-6.62402
critic_r1,complex_000059,complex_000292,9,-5.14591
critic_r1,complex_000059,complex_000292,10,-6.93701
critic_r1,complex_000059,complex_000292,11,-8.17807
critic_r1,complex_000059,complex_000292,12,-7.37192
critic_r1,complex_000059,complex_000292,13,-7.39027
critic_r1,complex_000059,complex_000292,14,-7.71035
critic_r1,complex_000059,complex_000292,15,-7.08912
critic_r1,complex_000059,complex_000292,16,-7.24621
critic_r1,complex_000059,complex_000292,17,-6.84682
critic_r1,complex_000059,complex_000292,18,-8.42759
critic_r1,complex_000059,complex_000292,19,-6.52317
critic_r1,complex_000026,complex_000363,0,-6.11926
critic_r1,complex_000026,complex_000363,1,-9.93681
critic_r1,complex_000026,complex_000363,2,-5.95384
critic_r1,complex_000026,complex_000363,3,-6.36427
critic_r1,complex_000026,complex_000363,4,-10.68078
critic_r1,complex_000026,complex_000363,5,-7.56974
critic_r1,complex_000026,complex_000363,6,-9.6583
critic_r1,complex_000026,complex_000363,7,-9.97067
critic_r1,complex_000026,complex_000363,8,-7.69464
critic_r1,complex_000026,complex_000363,9,-10.90471
critic_r1,complex_000026,complex_000363,10,-9.16846
critic_r1,complex_000026,complex_000363,11,-5.52745
critic_r1,complex_000026,complex_000363,12,-10.87534
critic_r1,complex_000026,complex_000363,13,-5.29313
critic_r1,complex_000026,complex_000363,14,-8.22136
critic_r1,complex_000026,complex_000363,15,-10.05362
critic_r1,complex_000026,complex_000363,16,-6.68564
critic_r1,complex_000026,complex_000363,17,-6.98514
critic_r1,complex_000026,complex_000363,18,-6.33016
critic_r1,complex_000026,complex_000363,19,-6.82773
critic_r1,complex_000051,complex_000051,0,-9.6335
critic_r1,complex_000051,complex_000051,1,-9.07165
critic_r1,complex_000051,complex_000051,2,-8.91761
critic_r1,complex_000051,complex_000051,3,-7.92642
critic_r1,complex_000051,complex_000051,4,-8.23838
critic_r1,complex_000051,complex_000051,5,-9.58264
critic_r1,complex_000051,complex_000051,6,-10.54884
critic_r1,complex_000051,complex_000051,7,-9.20687
critic_r1,complex_000051,complex_000051,8,-9.6424
critic_r1,complex_000051,complex_000051,9,-8.25324
critic_r1,complex_000051,complex_000051,10,-8.63194
critic_r1,complex_000051,complex_000051,11,-6.23666
critic_r1,complex_000051,complex_000051,12,-8.05895
critic_r1,complex_000051,complex_000051,13,-9.56416
critic_r1,complex_000051,complex_000051,14,-5.68928
critic_r1,complex_000051,complex_000051,15,-7.11682
critic_r1,complex_000051,complex_000051,16,-7.62385
critic_r1,complex_000051,complex_000051,17,-6.15074
critic_r1,complex_000051,complex_000051,18,-7.77019
critic_r1,complex_000051,complex_000051,19,-7.28912
critic_r1,complex_000051,complex_000117,0,-9.32657
critic_r1,complex_000051,complex_000117,1,-10.3049
critic_r1,complex_000051,complex_000117,2,-7.58116
critic_r1,complex_000051,complex_000117,3,-8.41784
critic_r1,complex_000051,complex_000117,4,-8.77019
critic_r1,complex_000051,complex_000117,5,-8.55088
critic_r1,complex_000051,complex_000117,6,-10.49819
critic_r1,complex_000051,complex_000117,7,-9.39281
critic_r1,complex_000051,complex_000117,8,-9.08964
critic_r1,complex_000051,complex_000117,9,-8.2052
critic_r1,complex_000051,complex_000117,10,-8.44756
critic_r1,complex_000051,complex_000117,11,-5.7448
critic_r1,complex_000051,complex_000117,12,-7.70267
critic_r1,complex_000051,complex_000117,13,-9.08586
critic_r1,complex_000051,complex_000117,14,-6.19836
critic_r1,complex_000051,complex_000117,15,-7.45337
critic_r1,complex_000051,complex_000117,16,-7.52419
critic_r1,complex_000051,complex_000117,17,-6.23769
critic_r1,complex_000051,complex_000117,18,-7.32629
critic_r1,complex_000051,complex_000117,19,-7.41945
critic_r1,complex_000026,complex_000177,0,-6.02077
critic_r1,complex_000026,complex_000177,1,-8.26164
critic_r1,complex_000026,complex_000177,2,-6.15819
critic_r1,complex_000026,complex_000177,3,-6.24292
critic_r1,complex_000026,complex_000177,4,-8.89801
critic_r1,complex_000026,complex_000177,5,-7.65364
critic_r1,complex_000026,complex_000177,6,-8.1708
critic_r1,complex_000026,complex_000177,7,-9.03893
critic_r1,complex_000026,complex_000177,8,-7.71403
critic_r1,complex_000026,complex_000177,9,-8.59783
critic_r1,complex_000026,complex_000177,10,-9.12398
critic_r1,complex_000026,complex_000177,11,-5.04522
critic_r1,complex_000026,complex_000177,12,-8.99007
critic_r1,complex_000026,complex_000177,13,-5.32648
critic_r1,complex_000026,complex_000177,14,-8.22637
critic_r1,complex_000026,complex_000177,15,-8.43613
critic_r1,complex_000026,complex_000177,16,-5.0615
critic_r1,complex_000026,complex_000177,17,-7.43929
critic_r1,complex_000026,complex_000177,18,-8.49421
critic_r1,complex_000026,complex_000177,19,-5.65205
critic_r1,complex_000026,complex_000026,0,-5.5567
critic_r1,complex_000026,complex_000026,1,-7.79436
critic_r1,complex_000026,complex_000026,2,-5.83995
critic_r1,complex_000026,complex_000026,3,-6.20177
critic_r1,complex_000026,complex_000026,4,-10.89434
critic_r1,complex_000026,complex_000026,5,-6.81246
critic_r1,complex_000026,complex_000026,6,-8.25115
critic_r1,complex_000026,complex_000026,7,-8.85548
critic_r1,complex_000026,complex_000026,8,-7.47743
critic_r1,complex_000026,complex_000026,9,-8.32287
critic_r1,complex_000026,complex_000026,10,-8.54324
critic_r1,complex_000026,complex_000026,11,-5.22267
critic_r1,complex_000026,complex_000026,12,-8.9
critic_r1,complex_000026,complex_000026,13,-5.22794
critic_r1,complex_000026,complex_000026,14,-7.55452
critic_r1,complex_000026,complex_000026,15,-8.69808
critic_r1,complex_000026,complex_000026,16,-9.63924
critic_r1,complex_000026,complex_000026,17,-8.43831
critic_r1,complex_000026,complex_000026,18,-8.79587
critic_r1,complex_000026,complex_000026,19,-6.21933
critic_r1,complex_000069,complex_000069,0,-9.44596
critic_r1,complex_000069,complex_000069,1,-6.4063
critic_r1,complex_000069,complex_000069,2,-10.93526
critic_r1,complex_000069,complex_000069,3,-6.80277
critic_r1,complex_000069,complex_000069,4,-6.93212
critic_r1,complex_000069,complex_000069,5,-9.32933
critic_r1,complex_000069,complex_000069,6,-5.14206
critic_r1,complex_000069,complex_000069,7,-5.77739
critic_r1,complex_000069,complex_000069,8,-7.82635
critic_r1,complex_000069,complex_000069,9,-8.44674
critic_r1,complex_000069,complex_000069,10,-8.52393
critic_r1,complex_000069,complex_000069,11,-7.74778
critic_r1,complex_000069,complex_000069,12,-6.06763
critic_r1,complex_000069,complex_000069,13,-8.41492
critic_r1,complex_000069,complex_000069,14,-8.80148
critic_r1,complex_000069,complex_000069,15,-9.14309
critic_r1,complex_000069,complex_000069,16,-6.64676
critic_r1,complex_000069,complex_000069,17,-8.7554
critic_r1,complex_000069,complex_000069,18,-7.27253
critic_r1,complex_000069,complex_000069,19,-8.02591
critic_r1,complex_000069,complex_000411,0,-8.36337
critic_r1,complex_000069,complex_000411,1,-5.86305
critic_r1,complex_000069,complex_000411,2,-9.39936
critic_r1,complex_000069,complex_000411,3,-6.77683
critic_r1,complex_000069,complex_000411,4,-6.04907
critic_r1,complex_000069,complex_000411,5,-8.52659
critic_r1,complex_000069,complex_000411,6,-5.16288
critic_r1,complex_000069,complex_000411,7,-6.07119
critic_r1,complex_000069,complex_000411,8,-6.99564
critic_r1,complex_000069,complex_000411,9,-7.92708
critic_r1,complex_000069,complex_000411,10,-8.35826
critic_r1,complex_000069,complex_000411,11,-8.52908
critic_r1,complex_000069,complex_000411,12,-5.95378
critic_r1,complex_000069,complex_000411,13,-7.84254
critic_r1,complex_000069,complex_000411,14,-8.48774
critic_r1,complex_000069,complex_000411,15,-9.22297
critic_r1,complex_000069,complex_000411,16,-6.68273
critic_r1,complex_000069,complex_000411,17,-7.91339
critic_r1,complex_000069,complex_000411,18,-6.9206
critic_r1,complex_000069,complex_000411,19,-7.24324
critic_r1,complex_000069,complex_000400,0,-9.57216
critic_r1,complex_000069,complex_000400,1,-6.80483
critic_r1,complex_000069,complex_000400,2,-12.35233
critic_r1,complex_000069,complex_000400,3,-6.92848
critic_r1,complex_000069,complex_000400,4,-6.50598
critic_r1,complex_000069,complex_000400,5,-8.97519
critic_r1,complex_000069,complex_000400,6,-5.52846
critic_r1,complex_000069,complex_000400,7,-5.98692
critic_r1,complex_000069,complex_000400,8,-7.92006
