arm,pocket,receptor,mol_idx,score
critic,complex_000059,complex_000456,8,-7.83469
critic,complex_000059,complex_000456,9,-7.57728
critic,complex_000059,complex_000456,10,-6.9026
critic,complex_000059,complex_000456,11,-8.88862
critic,complex_000059,complex_000456,12,-9.5117
critic,complex_000059,complex_000456,13,-6.9728
critic,complex_000059,complex_000456,14,-6.76509
critic,complex_000059,complex_000456,15,-6.70961
critic,complex_000059,complex_000456,16,-7.90707
critic,complex_000059,complex_000456,17,-8.02419
critic,complex_000059,complex_000456,18,-6.26365
critic,complex_000059,complex_000456,19,-6.9262
critic,complex_000069,complex_000069,0,-9.00801
critic,complex_000069,complex_000069,1,-6.17734
critic,complex_000069,complex_000069,2,-8.98393
critic,complex_000069,complex_000069,3,-6.36618
critic,complex_000069,complex_000069,4,-10.1464
critic,complex_000069,complex_000069,5,-5.89808
critic,complex_000069,complex_000069,6,-8.52801
critic,complex_000069,complex_000069,7,-10.55669
critic,complex_000069,complex_000069,8,-6.88898
critic,complex_000069,complex_000069,9,-6.34531
critic,complex_000069,complex_000069,10,-8.68689
critic,complex_000069,complex_000069,11,-9.15077
critic,complex_000069,complex_000069,12,-10.27249
critic,complex_000069,complex_000069,13,-9.0658
critic,complex_000069,complex_000069,14,-7.70387
critic,complex_000069,complex_000069,15,-8.50085
critic,complex_000069,complex_000069,16,-9.94219
critic,complex_000069,complex_000069,17,-9.52681
critic,complex_000069,complex_000069,18,-10.87413
critic,complex_000069,complex_000069,19,-7.14546
critic,complex_000069,complex_000411,0,-8.89124
critic,complex_000069,complex_000411,1,-5.9188
critic,complex_000069,complex_000411,2,-8.31658
critic,complex_000069,complex_000411,3,-6.61316
critic,complex_000069,complex_000411,4,-8.23253
critic,complex_000069,complex_000411,5,-5.55322
critic,complex_000069,complex_000411,6,-9.0069
critic,complex_000069,complex_000411,7,-9.72193
critic,complex_000069,complex_000411,8,-7.00818
critic,complex_000069,complex_000411,9,-6.28921
critic,complex_000069,complex_000411,10,-8.61525
critic,complex_000069,complex_000411,11,-8.56105
critic,complex_000069,complex_000411,12,-8.82829
critic,complex_000069,complex_000411,13,-8.4868
critic,complex_000069,complex_000411,14,-7.27519
critic,complex_000069,complex_000411,15,-8.31386
critic,complex_000069,complex_000411,16,-9.70531
critic,complex_000069,complex_000411,17,-8.98317
critic,complex_000069,complex_000411,18,-9.7525
critic,complex_000069,complex_000411,19,-6.62788
critic,complex_000063,complex_000063,0,-7.9649
critic,complex_000063,complex_000063,1,-8.05443
critic,complex_000063,complex_000063,2,-4.70166
critic,complex_000063,complex_000063,3,-7.08098
critic,complex_000063,complex_000063,4,-6.65147
critic,complex_000063,complex_000063,5,-8.96364
critic,complex_000063,complex_000063,6,-7.88466
critic,complex_000063,complex_000063,7,-7.92021
critic,complex_000063,complex_000063,8,-9.10262
critic,complex_000063,complex_000063,9,-7.68431
critic,complex_000063,complex_000063,10,-4.4598
critic,complex_000063,complex_000063,11,-5.2943
critic,complex_000063,complex_000063,12,-6.96816
critic,complex_000063,complex_000063,13,-5.23359
critic,complex_000063,complex_000063,14,-7.61591
critic,complex_000063,complex_000063,15,-8.57954
critic,complex_000063,complex_000063,16,-9.08023
critic,complex_000063,complex_000063,17,-6.14652
critic,complex_000063,complex_000063,18,-5.49546
critic,complex_000063,complex_000063,19,-4.6508
critic,complex_000069,complex_000400,0,-9.38634
critic,complex_000069,complex_000400,1,-6.25562
critic,complex_000069,complex_000400,2,-9.17337
critic,complex_000069,complex_000400,3,-6.83853
critic,complex_000069,complex_000400,4,-8.45348
critic,complex_000069,complex_000400,5,-5.99825
critic,complex_000069,complex_000400,6,-9.33575
critic,complex_000069,complex_000400,7,-10.48326
critic,complex_000069,complex_000400,8,-7.64599
critic,complex_000069,complex_000400,9,-6.99756
critic,complex_000069,complex_000400,10,-9.68571
critic,complex_000069,complex_000400,11,-9.26163
critic,complex_000069,complex_000400,12,-10.62569
critic,complex_000069,complex_000400,13,-8.80752
critic,complex_000069,complex_000400,14,-8.91748
critic,complex_000069,complex_000400,15,-9.23619
critic,complex_000069,complex_000400,16,-9.43725
critic,complex_000069,complex_000400,17,-10.62209
critic,complex_000069,complex_000400,18,-10.35225
critic,complex_000069,complex_000400,19,-6.66651
critic,complex_000069,complex_000170,0,-8.9172
critic,complex_000069,complex_000170,1,-6.86617
critic,complex_000069,complex_000170,2,-8.61444
critic,complex_000069,complex_000170,3,-7.072
critic,complex_000069,complex_000170,4,2.6029
critic,complex_000069,complex_000170,5,-6.60191
critic,complex_000069,complex_000170,6,-10.37986
critic,complex_000069,complex_000170,7,-9.5561
critic,complex_000069,complex_000170,8,-8.94225
critic,complex_000069,complex_000170,9,-7.34126
critic,complex_000069,complex_000170,10,-11.64079
critic,complex_000069,complex_000170,11,-10.42814
critic,complex_000069,complex_000170,12,-5.05508
critic,complex_000069,complex_000170,13,-4.05334
critic,complex_000069,complex_000170,14,-9.43118
critic,complex_000069,complex_000170,15,-10.3495
critic,complex_000069,complex_000170,16,-5.37376
critic,complex_000069,complex_000170,17,-11.19821
critic,complex_000069,complex_000170,18,-11.11508
critic,complex_000069,complex_000170,19,-7.8517
critic,complex_000063,complex_000472,0,-9.46978
critic,complex_000063,complex_000472,1,-8.73844
critic,complex_000063,complex_000472,2,-5.87049
critic,complex_000063,complex_000472,3,-8.2684
critic,complex_000063,complex_000472,4,-7.33567
critic,complex_000063,complex_000472,5,-9.43915
critic,complex_000063,complex_000472,6,-9.05502
critic,complex_000063,complex_000472,7,-9.12268
critic,complex_000063,complex_000472,8,-8.57891
critic,complex_000063,complex_000472,9,-8.61121
critic,complex_000063,complex_000472,10,-5.21047
critic,complex_000063,complex_000472,11,-5.69358
critic,complex_000063,complex_000472,12,-7.26883
critic,complex_000063,complex_000472,13,-6.00182
critic,complex_000063,complex_000472,14,-8.27647
critic,complex_000063,complex_000472,15,-9.81377
critic,complex_000063,complex_000472,16,-10.35818
critic,complex_000063,complex_000472,17,-6.78161
critic,complex_000063,complex_000472,18,-6.54258
critic,complex_000063,complex_000472,19,-5.68152
critic,complex_000063,complex_000193,0,-8.10378
critic,complex_000063,complex_000193,1,-7.90056
critic,complex_000063,complex_000193,2,-5.75124
critic,complex_000063,complex_000193,3,-6.45379
critic,complex_000063,complex_000193,4,-6.37618
critic,complex_000063,complex_000193,5,-7.33444
critic,complex_000063,complex_000193,6,-8.16564
critic,complex_000063,complex_000193,7,-6.98301
critic,complex_000063,complex_000193,8,-7.15663
critic,complex_000063,complex_000193,9,-7.13193
critic,complex_000063,complex_000193,10,-4.74173
critic,complex_000063,complex_000193,11,-5.20245
critic,complex_000063,complex_000193,12,-5.58958
critic,complex_000063,complex_000193,13,-5.90839
critic,complex_000063,complex_000193,14,-6.80816
critic,complex_000063,complex_000193,15,-9.10147
critic,complex_000063,complex_000193,16,-8.22607
critic,complex_000063,complex_000193,17,-6.23934
critic,complex_000063,complex_000193,18,-6.262
critic,complex_000063,complex_000193,19,-5.72874
critic,complex_000063,complex_000305,0,-9.37471
critic,complex_000063,complex_000305,1,-9.36222
critic,complex_000063,complex_000305,2,-5.65369
critic,complex_000063,complex_000305,3,-8.45143
critic,complex_000063,complex_000305,4,-7.32291
critic,complex_000063,complex_000305,5,-10.99595
critic,complex_000063,complex_000305,6,-8.18286
critic,complex_000063,complex_000305,7,-8.56554
critic,complex_000063,complex_000305,8,-9.73242
critic,complex_000063,complex_000305,9,-8.69066
critic,complex_000063,complex_000305,10,-4.73641
critic,complex_000063,complex_000305,11,-6.08929
critic,complex_000063,complex_000305,12,-7.40907
critic,complex_000063,complex_000305,13,-5.61996
critic,complex_000063,complex_000305,14,-9.00984
critic,complex_000063,complex_000305,15,-9.74833
critic,complex_000063,complex_000305,16,-9.86244
critic,complex_000063,complex_000305,17,-7.62873
critic,complex_000063,complex_000305,18,-5.95536
critic,complex_000063,complex_000305,19,-4.96789
critic,complex_000112,complex_000112,0,-7.91141
critic,complex_000112,complex_000112,1,-8.60146
critic,complex_000112,complex_000112,2,-7.17465
critic,complex_000112,complex_000112,3,-7.38871
critic,complex_000112,complex_000112,4,-6.89028
critic,complex_000112,complex_000112,5,-7.84313
critic,complex_000112,complex_000112,6,-6.31512
critic,complex_000112,complex_000112,7,-8.59112
critic,complex_000112,complex_000112,8,-6.48412
critic,complex_000112,complex_000112,9,-6.0389
critic,complex_000112,complex_000112,10,-8.0647
critic,complex_000112,complex_000112,11,-7.39041
critic,complex_000112,complex_000112,12,-9.14302
critic,complex_000112,complex_000112,13,-7.25783
critic,complex_000112,complex_000112,14,-5.50733
critic,complex_000112,complex_000112,15,-6.73355
critic,complex_000112,complex_000112,16,-5.18637
critic,complex_000112,complex_000112,17,-6.98304
critic,complex_000112,complex_000112,18,-7.15877
critic,complex_000112,complex_000112,19,-7.03043
critic,complex_000085,complex_000085,0,-8.45133
critic,complex_000085,complex_000085,1,-8.46781
critic,complex_000085,complex_000085,2,-6.78083
critic,complex_000085,complex_000085,3,-8.20163
critic,complex_000085,complex_000085,4,-10.17567
critic,complex_000085,complex_000085,5,-8.40867
critic,complex_000085,complex_000085,6,-9.62397
critic,complex_000085,complex_000085,7,-11.483
critic,complex_000085,complex_000085,8,-8.40439
critic,complex_000085,complex_000085,9,-10.77289
critic,complex_000085,complex_000085,10,-8.79586
critic,complex_000085,complex_000085,11,-8.71704
critic,complex_000085,complex_000085,12,-6.9794
critic,complex_000085,complex_000085,13,-9.2226
critic,complex_000085,complex_000085,14,-10.0387
critic,complex_000085,complex_000085,15,-7.16991
critic,complex_000085,complex_000085,16,-8.66938
critic,complex_000085,complex_000085,17,-8.63788
critic,complex_000085,complex_000085,18,-10.36522
critic,complex_000085,complex_000085,19,-7.63813
critic,complex_000085,complex_000400,0,-8.36996
critic,complex_000085,complex_000400,1,-8.11028
critic,complex_000085,complex_000400,2,-7.21471
critic,complex_000085,complex_000400,3,-8.44668
critic,complex_000085,complex_000400,4,-10.68965
critic,complex_000085,complex_000400,5,-8.4052
critic,complex_000085,complex_000400,6,-9.72191
critic,complex_000085,complex_000400,7,-10.70272
critic,complex_000085,complex_000400,8,-8.61899
critic,complex_000085,complex_000400,9,-11.91946
critic,complex_000085,complex_000400,10,-9.30053
critic,complex_000085,complex_000400,11,-8.33371
critic,complex_000085,complex_000400,12,-7.28836
critic,complex_000085,complex_000400,13,-9.27017
critic,complex_000085,complex_000400,14,-10.13573
critic,complex_000085,complex_000400,15,-7.0876
critic,complex_000085,complex_000400,16,-9.05834
critic,complex_000085,complex_000400,17,-8.81434
critic,complex_000085,complex_000400,18,-9.20493
critic,complex_000085,complex_000400,19,-7.96798
critic,complex_000112,complex_000456,0,-6.73662
critic,complex_000112,complex_000456,1,-8.15165
critic,complex_000112,complex_000456,2,-7.33517
critic,complex_000112,complex_000456,3,-6.75173
critic,complex_000112,complex_000456,4,-6.43671
critic,complex_000112,complex_000456,5,-7.65928
critic,complex_000112,complex_000456,6,-7.06321
critic,complex_000112,complex_000456,7,-8.83503
critic,complex_000112,complex_000456,8,-6.4393
critic,complex_000112,complex_000456,9,-6.11558
critic,complex_000112,complex_000456,10,-6.25745
critic,complex_000112,complex_000456,11,-6.64972
critic,complex_000112,complex_000456,12,-7.68472
critic,complex_000112,complex_000456,13,-6.84867
critic,complex_000112,complex_000456,14,-4.72816
critic,complex_000112,complex_000456,15,-7.77068
critic,complex_000112,complex_000456,16,-4.83749
critic,complex_000112,complex_000456,17,-8.8903
critic,complex_000112,complex_000456,18,-6.25006
critic,complex_000112,complex_000456,19,-7.07148
critic,complex_000112,complex_000473,0,-7.07346
critic,complex_000112,complex_000473,1,-8.43093
critic,complex_000112,complex_000473,2,-6.73378
critic,complex_000112,complex_000473,3,-7.00726
critic,complex_000112,complex_000473,4,-6.61998
critic,complex_000112,complex_000473,5,-7.68718
critic,complex_000112,complex_000473,6,-7.00642
critic,complex_000112,complex_000473,7,-9.15767
critic,complex_000112,complex_000473,8,-5.8948
critic,complex_000112,complex_000473,9,-7.17293
critic,complex_000112,complex_000473,10,-6.19
critic,complex_000112,complex_000473,11,-6.25288
critic,complex_000112,complex_000473,12,-8.65976
critic,complex_000112,complex_000473,13,-7.13809
critic,complex_000112,complex_000473,14,-4.53935
critic,complex_000112,complex_000473,15,-7.85796
critic,complex_000112,complex_000473,16,-4.326
critic,complex_000112,complex_000473,17,-9.1627
critic,complex_000112,complex_000473,18,-6.18169
critic,complex_000112,complex_000473,19,-6.48267
