pocket,tanimoto,recall
complex_000059,0.4375,0.4375
complex_000059,0.625,0.625
complex_000059,0.4444444444444444,0.5
complex_000059,0.6111111111111112,0.6875
complex_000059,0.3888888888888889,0.4375
complex_000059,0.5,0.625
complex_000059,0.625,0.625
complex_000059,0.6,0.75
complex_000059,0.625,0.625
complex_000059,0.4117647058823529,0.4375
complex_000059,0.5294117647058824,0.5625
complex_000059,0.75,0.75
complex_000059,0.5,0.5
complex_000059,0.2916666666666667,0.4375
complex_000059,0.5,0.5
complex_000059,0.7647058823529411,0.8125
complex_000059,0.3888888888888889,0.4375
complex_000059,0.42105263157894735,0.5
complex_000059,0.5,0.5
complex_000059,0.5,0.5625
complex_000059,0.5882352941176471,0.625
complex_000059,0.5625,0.5625
complex_000059,0.5,0.5625
complex_000059,0.5714285714285714,0.75
complex_000059,0.6875,0.6875
complex_000059,0.6666666666666666,0.75
complex_000059,0.55,0.6875
complex_000059,0.5555555555555556,0.625
complex_000059,0.47619047619047616,0.625
complex_000059,0.625,0.625
complex_000059,0.5294117647058824,0.5625
complex_000059,0.5294117647058824,0.5625
complex_000059,0.5882352941176471,0.625
complex_000059,0.5882352941176471,0.625
complex_000059,0.5555555555555556,0.625
complex_000059,0.5555555555555556,0.625
complex_000059,0.6,0.75
complex_000059,0.6875,0.6875
complex_000059,0.5714285714285714,0.75
complex_000059,0.5882352941176471,0.625
complex_000059,0.7222222222222222,0.8125
complex_000059,0.5238095238095238,0.6875
complex_000059,0.47058823529411764,0.5
complex_000059,0.5263157894736842,0.625
complex_000059,0.5625,0.5625
complex_000059,0.7058823529411765,0.75
complex_000059,0.7,0.875
complex_000059,0.4090909090909091,0.5625
complex_000059,0.6842105263157895,0.8125
complex_000059,0.45,0.5625
complex_000059,0.631578947368421,0.75
complex_000059,0.5882352941176471,0.625
complex_000059,0.5294117647058824,0.5625
complex_000059,0.5,0.5
complex_000059,0.65,0.8125
complex_000059,0.5882352941176471,0.625
complex_000059,0.5,0.5
complex_000059,0.5789473684210527,0.6875
complex_000059,0.7,0.875
complex_000059,0.6470588235294118,0.6875
complex_000059,0.625,0.625
complex_000059,0.5294117647058824,0.5625
complex_000059,0.5263157894736842,0.625
complex_000059,0.5789473684210527,0.6875
complex_000059,0.6470588235294118,0.6875
complex_000059,0.47058823529411764,0.5
complex_000059,0.6111111111111112,0.6875
complex_000059,0.6,0.75
complex_000059,0.35294117647058826,0.375
complex_000059,0.47058823529411764,0.5
complex_000059,0.6470588235294118,0.6875
complex_000059,0.625,0.625
complex_000059,0.5294117647058824,0.5625
complex_000059,0.375,0.375
complex_000059,0.47058823529411764,0.5
complex_000059,0.3125,0.3125
complex_000059,0.5,0.5625
complex_000059,0.7647058823529411,0.8125
complex_000059,0.5625,0.5625
complex_000059,0.6470588235294118,0.6875
complex_000063,0.625,0.7142857142857143
complex_000063,0.4444444444444444,0.5714285714285714
complex_000063,0.4166666666666667,0.7142857142857143
complex_000063,0.4,0.5714285714285714
complex_000063,0.26666666666666666,0.5714285714285714
complex_000063,0.36363636363636365,0.5714285714285714
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.38461538461538464,0.7142857142857143
complex_000063,0.3333333333333333,0.5714285714285714
complex_000063,0.38461538461538464,0.7142857142857143
complex_000063,0.3333333333333333,0.42857142857142855
complex_000063,0.3,0.42857142857142855
complex_000063,0.5833333333333334,1.0
complex_000063,0.4,0.5714285714285714
complex_000063,0.3,0.42857142857142855
complex_000063,0.3,0.42857142857142855
complex_000063,0.3,0.42857142857142855
complex_000063,0.23076923076923078,0.42857142857142855
complex_000063,0.6,0.8571428571428571
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.36363636363636365,0.5714285714285714
complex_000063,0.5555555555555556,0.7142857142857143
complex_000063,0.375,0.42857142857142855
complex_000063,0.375,0.42857142857142855
complex_000063,0.18181818181818182,0.2857142857142857
complex_000063,0.5384615384615384,1.0
complex_000063,0.4166666666666667,0.7142857142857143
complex_000063,0.23076923076923078,0.42857142857142855
complex_000063,0.25,0.42857142857142855
complex_000063,0.375,0.42857142857142855
complex_000063,0.2222222222222222,0.2857142857142857
complex_000063,0.5,0.5714285714285714
complex_000063,0.4166666666666667,0.7142857142857143
complex_000063,0.4,0.8571428571428571
complex_000063,0.3333333333333333,0.42857142857142855
complex_000063,0.4444444444444444,0.5714285714285714
complex_000063,0.36363636363636365,0.5714285714285714
complex_000063,0.3333333333333333,0.5714285714285714
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.38461538461538464,0.7142857142857143
complex_000063,0.45454545454545453,0.7142857142857143
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.3,0.42857142857142855
complex_000063,0.45454545454545453,0.7142857142857143
complex_000063,0.3333333333333333,0.42857142857142855
complex_000063,0.2222222222222222,0.2857142857142857
complex_000063,0.5,0.7142857142857143
complex_000063,0.4166666666666667,0.7142857142857143
complex_000063,0.2,0.2857142857142857
complex_000063,0.4,0.5714285714285714
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.375,0.42857142857142855
complex_000063,0.5,0.7142857142857143
complex_000063,0.7777777777777778,1.0
complex_000063,0.42857142857142855,0.8571428571428571
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.4,0.8571428571428571
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.4,0.5714285714285714
complex_000063,0.3125,0.7142857142857143
complex_000063,0.5714285714285714,0.5714285714285714
complex_000063,0.3333333333333333,0.42857142857142855
complex_000063,0.35714285714285715,0.7142857142857143
complex_000063,0.375,0.42857142857142855
complex_000063,0.5,0.7142857142857143
complex_000063,0.5,0.5714285714285714
complex_000063,0.5714285714285714,0.5714285714285714
complex_000063,0.5555555555555556,0.7142857142857143
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.5714285714285714,0.5714285714285714
complex_000063,0.42857142857142855,0.42857142857142855
complex_000063,0.6,0.8571428571428571
complex_000063,0.4166666666666667,0.7142857142857143
complex_000063,0.38461538461538464,0.7142857142857143
complex_000063,0.4,0.5714285714285714
complex_000063,0.36363636363636365,0.5714285714285714
complex_000063,0.625,0.7142857142857143
complex_000063,0.16666666666666666,0.2857142857142857
complex_000063,0.4,0.5714285714285714
complex_000063,0.5,0.8571428571428571
complex_000063,0.4444444444444444,0.5714285714285714
complex_000063,0.3333333333333333,0.42857142857142855
complex_000063,0.3333333333333333,0.5714285714285714
complex_000063,0.4,0.5714285714285714
complex_000063,0.5555555555555556,0.7142857142857143
complex_000063,0.2857142857142857,0.2857142857142857
complex_000063,0.3333333333333333,0.7142857142857143
complex_000063,0.3,0.42857142857142855
complex_000063,0.3076923076923077,0.5714285714285714
complex_000063,0.4444444444444444,0.5714285714285714
complex_000063,0.4444444444444444,0.5714285714285714
complex_000063,0.6666666666666666,0.8571428571428571
complex_000063,0.6,0.8571428571428571
complex_000063,0.5555555555555556,0.7142857142857143
complex_000063,0.375,0.42857142857142855
complex_000069,0.45454545454545453,0.5
complex_000069,0.375,0.6
complex_000069,0.5,0.5
complex_000069,0.6363636363636364,0.7
complex_000069,0.5,0.5
complex_000069,0.7272727272727273,0.8
complex_000069,0.5,0.6
complex_000069,0.6666666666666666,0.8
complex_000069,0.6,0.6
complex_000069,0.5,0.6
complex_000069,0.45454545454545453,0.5
complex_000069,0.6666666666666666,0.8
complex_000069,0.46153846153846156,0.6
complex_000069,0.42857142857142855,0.6
complex_000069,0.5,0.6
complex_000069,0.6363636363636364,0.7
complex_000069,0.6,0.6
complex_000069,0.6363636363636364,0.7
complex_000069,0.5,0.5
complex_000069,0.46153846153846156,0.6
complex_000069,0.8,0.8
complex_000069,0.7,0.7
complex_000069,0.6,0.6
complex_000069,0.6428571428571429,0.9
complex_000069,0.5833333333333334,0.7
complex_000069,0.6153846153846154,0.8
complex_000069,0.3,0.3
complex_000069,0.4117647058823529,0.7
complex_000069,0.6,0.6
complex_000069,0.4375,0.7
complex_000069,0.6,0.6
complex_000069,0.6,0.6
complex_000069,0.2727272727272727,0.3
complex_000069,0.5454545454545454,0.6
complex_000069,0.5,0.5
complex_000069,0.42857142857142855,0.6
complex_000069,0.5,0.5
complex_000069,0.6666666666666666,0.8
complex_000069,0.6363636363636364,0.7
complex_000069,0.5714285714285714,0.8
complex_000069,0.6153846153846154,0.8
complex_000069,0.5,0.5
complex_000069,0.7272727272727273,0.8
complex_000069,0.5833333333333334,0.7
complex_000069,0.7,0.7
complex_000069,0.6666666666666666,0.8
complex_000069,0.4666666666666667,0.7
complex_000069,0.5454545454545454,0.6
complex_000069,0.6,0.9
