pocket,ligcode,centroid_offset,same_site,tanimoto,recall
complex_000305,iwr,7.342818532341388,True,0.3684210526315789,0.5833333333333334
complex_000305,swy,6.056285938550481,True,0.30434782608695654,0.5833333333333334
complex_000335,da8,12.468432373874965,False,0.0,0.0
complex_000335,nlc,13.905172163914935,False,0.0,0.0
complex_000335,bhe,12.472904821519089,False,0.0,0.0
complex_000335,4ya,11.71663225730799,False,0.0,0.0
complex_000335,dr3,12.25017950608272,False,0.0,0.0
complex_000335,ad7,12.417115964078649,False,0.0,0.0
complex_000363,bun,0.450398669291164,True,0.9285714285714286,0.9285714285714286
complex_000363,hcc,0.69311938084069,True,0.8571428571428571,0.8571428571428571
complex_000376,nxa,1.0053443565436462,True,0.8,0.8
complex_000376,lpr,2.7991770435257943,True,0.5555555555555556,1.0
complex_000376,eal,3.306789702035204,True,0.625,1.0
complex_000403,xrg,1.5214641122709909,True,0.6363636363636364,0.7
complex_000403,d1h,4.791723410146086,True,0.5,0.7
complex_000426,paz,2.5907727121096666,True,0.4117647058823529,0.7
complex_000477,cbd,4.54395918757582,True,0.26666666666666666,0.36363636363636365
complex_000477,gtx,1.6347013311301126,True,0.8461538461538461,1.0
complex_000477,gbx,3.3059560075829983,True,0.6875,1.0
complex_000477,lz6,4.4493096290527605,True,0.6470588235294118,1.0
complex_000477,vww,2.8932928940681317,True,0.8461538461538461,1.0
complex_000540,i2c,0.5147583017353877,True,0.8636363636363636,1.0
