pocket,displacement,tanimoto,recall,error
complex_000117,2.0,0.25,0.3333333333333333,
complex_000117,2.0,0.25,0.3333333333333333,
complex_000117,2.0,0.375,0.5,
complex_000117,2.0,0.375,0.5,
complex_000117,2.0,0.375,0.5,
complex_000117,2.0,0.3333333333333333,0.5,
complex_000117,2.0,0.1111111111111111,0.16666666666666666,
complex_000117,2.0,0.2857142857142857,0.3333333333333333,
complex_000117,2.0,0.5555555555555556,0.8333333333333334,
complex_000117,2.0,0.375,0.5,
complex_000117,3.0,0.125,0.16666666666666666,
complex_000117,3.0,0.375,0.5,
complex_000117,3.0,0.2,0.3333333333333333,
complex_000117,3.0,0.375,0.5,
complex_000117,3.0,0.2,0.3333333333333333,
complex_000117,3.0,0.25,0.3333333333333333,
complex_000117,3.0,0.5,0.6666666666666666,
complex_000117,3.0,0.375,0.5,
complex_000117,3.0,0.2727272727272727,0.5,
complex_000117,3.0,0.125,0.16666666666666666,
complex_000117,3.0,0.3333333333333333,0.5,
complex_000117,3.0,0.2727272727272727,0.5,
complex_000140,0.5,0.6111111111111112,0.7857142857142857,
complex_000140,0.5,0.5263157894736842,0.7142857142857143,
complex_000140,0.5,0.5882352941176471,0.7142857142857143,
complex_000140,0.5,0.6428571428571429,0.6428571428571429,
complex_000140,0.5,0.9333333333333333,1.0,
complex_000140,0.5,0.5789473684210527,0.7857142857142857,
complex_000140,0.5,0.8125,0.9285714285714286,
complex_000140,0.5,0.6111111111111112,0.7857142857142857,
complex_000140,0.5,0.6842105263157895,0.9285714285714286,
complex_000140,0.5,0.8125,0.9285714285714286,
complex_000140,0.5,0.5789473684210527,0.7857142857142857,
complex_000140,0.5,0.5625,0.6428571428571429,
complex_000140,1.0,0.25,0.2857142857142857,
complex_000140,1.0,0.5555555555555556,0.7142857142857143,
complex_000140,1.0,0.4444444444444444,0.5714285714285714,
complex_000140,1.0,0.4444444444444444,0.5714285714285714,
complex_000140,1.0,0.3684210526315789,0.5,
complex_000140,1.0,0.5294117647058824,0.6428571428571429,
complex_000140,1.0,0.4444444444444444,0.5714285714285714,
complex_000140,1.0,0.2777777777777778,0.35714285714285715,
complex_000140,1.0,0.6470588235294118,0.7857142857142857,
complex_000140,1.0,0.45454545454545453,0.7142857142857143,
complex_000140,1.0,0.6111111111111112,0.7857142857142857,
