pocket,tanimoto,recall,error
complex_000026,0.1875,0.2,
complex_000026,0.5,0.5333333333333333,
complex_000026,0.125,0.13333333333333333,
complex_000026,0.17647058823529413,0.2,
complex_000026,0.3125,0.3333333333333333,
complex_000026,0.36363636363636365,0.5333333333333333,
complex_000026,0.26666666666666666,0.26666666666666666,
complex_000026,0.26666666666666666,0.26666666666666666,
complex_000026,0.2777777777777778,0.3333333333333333,
complex_000026,0.4375,0.4666666666666667,
complex_000026,0.3157894736842105,0.4,
complex_000026,0.2,0.2,
complex_000026,0.4,0.4,
complex_000026,0.1875,0.2,
complex_000026,0.2777777777777778,0.3333333333333333,
complex_000026,0.42105263157894735,0.5333333333333333,
complex_000026,0.30434782608695654,0.4666666666666667,
complex_000026,0.13333333333333333,0.13333333333333333,
complex_000026,0.4375,0.4666666666666667,
complex_000026,0.15789473684210525,0.2,
complex_000026,0.29411764705882354,0.3333333333333333,
complex_000026,0.29411764705882354,0.3333333333333333,
complex_000026,0.3333333333333333,0.4,
complex_000026,0.2,0.26666666666666666,
complex_000026,0.11764705882352941,0.13333333333333333,
complex_000026,0.26666666666666666,0.26666666666666666,
complex_000026,0.4117647058823529,0.4666666666666667,
complex_000026,0.1875,0.2,
complex_000026,0.1875,0.2,
complex_000026,0.3,0.4,
complex_000026,0.375,0.4,
complex_000026,0.06666666666666667,0.06666666666666667,
complex_000026,0.2,0.2,
complex_000026,0.4375,0.4666666666666667,
complex_000026,0.3157894736842105,0.4,
complex_000026,0.42105263157894735,0.5333333333333333,
complex_000026,0.23809523809523808,0.3333333333333333,
complex_000026,0.23529411764705882,0.26666666666666666,
complex_000026,0.21739130434782608,0.3333333333333333,
complex_000026,0.125,0.13333333333333333,
complex_000026,0.29411764705882354,0.3333333333333333,
complex_000026,0.2222222222222222,0.26666666666666666,
complex_000026,0.2,0.2,
complex_000026,0.25,0.3333333333333333,
complex_000026,0.3125,0.3333333333333333,
complex_000026,0.4,0.4,
complex_000026,0.42857142857142855,0.6,
complex_000026,0.13333333333333333,0.13333333333333333,
complex_000026,0.29411764705882354,0.3333333333333333,
complex_000026,0.2,0.2,
complex_000026,0.35294117647058826,0.4,
complex_000026,0.2,0.3333333333333333,
