pocket,ligcode,centroid_offset,same_site,usable,reason,tanimoto,recall
complex_000292,19c,3.545791644731083,True,True,,0.25,0.3333333333333333
complex_000292,zzv,2.088416643530091,True,True,,0.2857142857142857,0.3333333333333333
complex_000292,zyy,1.342267639046288,True,True,,0.2857142857142857,0.3333333333333333
complex_000305,16s,0.3716413426103782,True,True,,0.6666666666666666,0.8333333333333334
complex_000305,1uw,0.9504406300395293,True,True,,0.6666666666666666,0.8333333333333334
complex_000305,28c,2.4942255673395812,True,True,,0.3888888888888889,0.5833333333333334
complex_000305,m3f,0.6840325998031578,True,True,,0.6,0.75
complex_000305,a64,0.500749417182453,True,True,,0.6875,0.9166666666666666
complex_000305,1v1,0.44049778360603525,True,True,,0.6470588235294118,0.9166666666666666
complex_000305,f36,0.5626545459443862,True,True,,0.6875,0.9166666666666666
complex_000305,1ur,0.5722748912107793,True,True,,0.7857142857142857,0.9166666666666666
complex_000305,92t,5.801409978078194,True,True,,0.16666666666666666,0.4166666666666667
complex_000305,vt3,0.49329802143417895,True,True,,0.5882352941176471,0.8333333333333334
complex_000305,f33,1.1948127231421757,True,True,,0.6111111111111112,0.9166666666666666
complex_000305,16i,2.4852162127023867,True,True,,0.5238095238095238,0.9166666666666666
complex_000305,bj4,1.151008947449619,True,True,,0.47368421052631576,0.75
complex_000305,w8l,1.28208600734547,True,True,,0.5294117647058824,0.75
complex_000305,06r,0.8154738181599562,True,True,,0.5555555555555556,0.8333333333333334
complex_000305,0e0,0.65385217619715,True,True,,0.6666666666666666,0.8333333333333334
complex_000305,1uz,0.28158014023917904,True,True,,0.625,0.8333333333333334
complex_000305,f38,1.1430824858290407,True,True,,0.5789473684210527,0.9166666666666666
complex_000305,32f,0.7322457875138563,True,True,,0.7142857142857143,0.8333333333333334
complex_000305,1v0,0.519258974008979,True,True,,0.6428571428571429,0.75
complex_000305,27f,0.28413138266167354,True,True,,0.7857142857142857,0.9166666666666666
complex_000305,cdj,0.5555109649911837,True,True,,0.7142857142857143,0.8333333333333334
complex_000305,1ak,5.578798778247981,True,True,,0.19230769230769232,0.4166666666666667
complex_000305,a63,0.33971992149544417,True,True,,0.625,0.8333333333333334
complex_000305,w2e,0.39532989377291217,True,True,,0.6470588235294118,0.9166666666666666
complex_000305,1v8,0.34888673490217786,True,True,,0.6666666666666666,0.8333333333333334
complex_000305,5zi,5.241449951456384,True,True,,0.4230769230769231,0.9166666666666666
complex_000305,15z,0.478563100177463,True,True,,0.5294117647058824,0.75
complex_000305,33c,7.345068962172617,True,True,,0.07692307692307693,0.16666666666666666
complex_000305,91f,0.27003214155191796,True,True,,0.55,0.9166666666666666
complex_000305,15w,0.7271687710833409,True,True,,0.5555555555555556,0.8333333333333334
complex_000305,1vg,1.104407646763382,True,True,,0.6428571428571429,0.75
complex_000305,f94,0.43782534768719594,True,True,,0.5263157894736842,0.8333333333333334
complex_000305,h2w,0.36569929196714024,True,True,,0.5882352941176471,0.8333333333333334
complex_000305,5ww,0.4708787006689181,True,True,,0.7142857142857143,0.8333333333333334
complex_000305,1ut,0.5022797857545319,True,True,,0.6666666666666666,0.8333333333333334
complex_000305,nnl,0.7816111581136642,True,True,,0.4,0.6666666666666666
complex_000305,nnf,1.1164128514617904,True,True,,0.5263157894736842,0.8333333333333334
complex_000305,8ir,5.687639806640779,True,True,,0.1724137931034483,0.4166666666666667
complex_000305,iwr,7.342818532341388,True,True,,0.06896551724137931,0.16666666666666666
complex_000305,swy,6.056285938550481,True,True,,0.14705882352941177,0.4166666666666667
complex_000335,da8,12.468432373874965,False,False,not_same_site,,
complex_000335,nlc,13.905172163914935,False,False,not_same_site,,
complex_000335,bhe,12.472904821519089,False,False,not_same_site,,
complex_000335,4ya,11.71663225730799,False,False,not_same_site,,
complex_000335,dr3,12.25017950608272,False,False,not_same_site,,
complex_000335,ad7,12.417115964078649,False,False,not_same_site,,
complex_000363,bun,0.450398669291164,True,True,,0.36363636363636365,0.5714285714285714
complex_000363,hcc,0.69311938084069,True,True,,0.3684210526315789,0.5
complex_000376,nxa,1.0053443565436462,True,True,,0.6,0.6666666666666666
complex_000376,lpr,2.7991770435257943,True,True,,0.3333333333333333,0.8888888888888888
complex_000376,eal,3.306789702035204,True,True,,0.4,0.8888888888888888
complex_000403,xrg,1.5214641122709909,True,True,,0.3333333333333333,0.6
complex_000403,d1h,4.791723410146086,True,True,,0.0,0.0
complex_000426,paz,2.5907727121096666,True,True,,0.3125,0.625
complex_000477,cbd,4.54395918757582,True,True,,0.17391304347826086,0.26666666666666666
complex_000477,gtx,1.6347013311301126,True,True,,0.7894736842105263,1.0
complex_000477,gbx,3.3059560075829983,True,True,,0.6363636363636364,0.9333333333333333
complex_000477,lz6,4.4493096290527605,True,True,,0.6818181818181818,1.0
complex_000477,vww,2.8932928940681317,True,True,,0.7368421052631579,0.9333333333333333
complex_000540,i2c,0.5147583017353877,True,True,,0.8888888888888888,0.9411764705882353
