pocket,displacement,tanimoto,recall
complex_000085,0.5,0.7647058823529411,0.8666666666666667
complex_000085,1.0,0.7058823529411765,0.8
complex_000085,1.0,0.5882352941176471,0.6666666666666666
complex_000085,1.0,0.6470588235294118,0.7333333333333333
complex_000085,1.0,0.7058823529411765,0.8
complex_000085,1.0,0.5294117647058824,0.6
complex_000085,1.0,0.8125,0.8666666666666667
complex_000085,1.0,0.7647058823529411,0.8666666666666667
complex_000085,1.0,0.8125,0.8666666666666667
complex_000085,1.0,0.5882352941176471,0.6666666666666666
complex_000085,1.0,0.65,0.8666666666666667
complex_000085,1.0,0.75,0.8
complex_000085,1.0,0.625,0.6666666666666666
complex_000085,2.0,0.3888888888888889,0.4666666666666667
complex_000085,2.0,0.5,0.5333333333333333
complex_000085,2.0,0.42105263157894735,0.5333333333333333
complex_000085,2.0,0.5625,0.6
complex_000085,2.0,0.4117647058823529,0.4666666666666667
complex_000085,2.0,0.45,0.6
complex_000085,2.0,0.5294117647058824,0.6
complex_000085,2.0,0.5294117647058824,0.6
complex_000085,2.0,0.7647058823529411,0.8666666666666667
complex_000085,2.0,0.5294117647058824,0.6
complex_000085,2.0,0.625,0.6666666666666666
complex_000085,2.0,0.6111111111111112,0.7333333333333333
complex_000085,3.0,0.47368421052631576,0.6
complex_000085,3.0,0.4444444444444444,0.5333333333333333
complex_000085,3.0,0.47368421052631576,0.6
complex_000085,3.0,0.38095238095238093,0.5333333333333333
complex_000085,3.0,0.38095238095238093,0.5333333333333333
complex_000085,3.0,0.4,0.5333333333333333
complex_000085,3.0,0.4117647058823529,0.4666666666666667
complex_000085,3.0,0.5,0.6
complex_000085,3.0,0.3888888888888889,0.4666666666666667
complex_000085,3.0,0.4444444444444444,0.5333333333333333
complex_000085,3.0,0.5555555555555556,0.6666666666666666
complex_000085,3.0,0.35,0.4666666666666667
complex_000112,0.5,0.8333333333333334,0.9090909090909091
complex_000112,0.5,0.9166666666666666,1.0
complex_000112,0.5,1.0,1.0
complex_000112,0.5,0.75,0.8181818181818182
complex_000112,0.5,0.75,0.8181818181818182
complex_000112,0.5,1.0,1.0
complex_000112,0.5,0.75,0.8181818181818182
complex_000112,0.5,0.6666666666666666,0.7272727272727273
complex_000112,0.5,0.9090909090909091,0.9090909090909091
complex_000112,0.5,0.75,0.8181818181818182
complex_000112,0.5,0.9166666666666666,1.0
complex_000112,0.5,1.0,1.0
complex_000112,1.0,0.5,0.5454545454545454
complex_000112,1.0,0.6666666666666666,0.7272727272727273
complex_000112,1.0,1.0,1.0
complex_000112,1.0,1.0,1.0
complex_000112,1.0,0.5833333333333334,0.6363636363636364
complex_000112,1.0,0.6666666666666666,0.7272727272727273
complex_000112,1.0,0.75,0.8181818181818182
complex_000112,1.0,0.9166666666666666,1.0
complex_000112,1.0,0.5833333333333334,0.6363636363636364
complex_000112,1.0,1.0,1.0
complex_000112,1.0,0.5833333333333334,0.6363636363636364
complex_000112,1.0,0.5833333333333334,0.6363636363636364
complex_000112,2.0,0.5714285714285714,0.7272727272727273
complex_000112,2.0,0.46153846153846156,0.5454545454545454
complex_000112,2.0,0.5454545454545454,0.5454545454545454
complex_000112,2.0,0.4166666666666667,0.45454545454545453
complex_000112,2.0,0.46153846153846156,0.5454545454545454
complex_000112,2.0,0.46153846153846156,0.5454545454545454
complex_000112,2.0,0.46153846153846156,0.5454545454545454
complex_000112,2.0,0.46153846153846156,0.5454545454545454
complex_000112,2.0,0.5,0.5454545454545454
complex_000112,2.0,0.46153846153846156,0.5454545454545454
complex_000112,2.0,0.9090909090909091,0.9090909090909091
complex_000112,2.0,0.5833333333333334,0.6363636363636364
