batch,slot,critic_lambda20,control_r0,critic_r0
462,0,9.143352508544922e-05,0.0003046989440917969,0.0003279447555541992
465,0,0.004117786884307861,0.0021570920944213867,0.0011658668518066406
466,0,0.0004189014434814453,0.00013637542724609375,0.0002903938293457031
467,0,3.337860107421875e-05,0.00012373924255371094,7.62939453125e-05
473,0,0.0003701448440551758,0.0005463361740112305,0.0007718205451965332
474,0,0.0010132193565368652,0.0006998181343078613,0.0010371208190917969
479,0,0.001583099365234375,0.0020678043365478516,0.002088606357574463
480,0,0.002629399299621582,0.0020368099212646484,0.0016834735870361328
480,1,0.0025703907012939453,0.0002986788749694824,0.0009469985961914062
481,0,9.357929229736328e-05,0.00011587142944335938,9.834766387939453e-05
482,0,0.0004405975341796875,0.00042569637298583984,0.0005320310592651367
487,0,7.110834121704102e-05,6.270408630371094e-05,7.56978988647461e-05
492,0,1.1205673217773438e-05,2.562999725341797e-06,1.7881393432617188e-06
495,0,6.020069122314453e-05,7.730722427368164e-05,0.00013911724090576172
498,0,0.002617359161376953,0.001673877239227295,0.0022077560424804688
499,0,0.004854142665863037,0.0054329633712768555,0.005794227123260498
500,0,0.0003046989440917969,0.00010138750076293945,6.175041198730469e-05
501,0,0.0044939517974853516,0.004910826683044434,0.00472944974899292
502,0,0.0015572309494018555,0.001320481300354004,0.001534104347229004
503,0,0.0010031461715698242,0.0009316802024841309,0.001065671443939209
504,0,0.00016838312149047852,0.0001710653305053711,0.00015664100646972656
505,0,0.0001163482666015625,0.0001278519630432129,0.0001946091651916504
506,0,0.0012770891189575195,0.0013275146484375,0.001201629638671875
509,0,1.2516975402832031e-06,3.170967102050781e-05,4.470348358154297e-06
509,1,1.6689300537109375e-05,7.140636444091797e-05,1.895427703857422e-05
513,0,0.001311182975769043,0.0005152225494384766,0.00040334463119506836
517,0,0.0002105236053466797,0.000540614128112793,0.002798795700073242
517,1,0.0001289844512939453,9.78708267211914e-05,0.00010561943054199219
518,0,0.00012922286987304688,0.0002633333206176758,0.000240325927734375
519,0,0.0023812055587768555,0.000428617000579834,0.00017791986465454102
526,0,0.020234107971191406,0.026753783226013184,0.023104727268218994
527,0,0.0010137557983398438,0.001451253890991211,0.0008261799812316895
529,0,0.003905653953552246,0.004154682159423828,0.004519283771514893
533,0,0.00023877620697021484,0.0009347200393676758,0.000906825065612793
534,0,0.0003333091735839844,0.00037676095962524414,0.0004954338073730469
538,0,2.8908252716064453e-05,2.8014183044433594e-05,5.137920379638672e-05
547,0,0.0005188584327697754,0.000910639762878418,0.0004782676696777344
548,0,0.0012980103492736816,0.0009645223617553711,0.0010981559753417969
549,0,0.00037109851837158203,0.00037729740142822266,0.00037789344787597656
556,0,0.0002047419548034668,0.00017303228378295898,0.00029164552688598633
558,0,8.720159530639648e-05,0.00026416778564453125,4.565715789794922e-05
559,0,0.00033992528915405273,0.0006151199340820312,0.0008345246315002441
561,0,0.003565490245819092,0.0026513338088989258,0.003136277198791504
566,0,0.0001327991485595703,0.00022715330123901367,0.00017750263214111328
569,0,0.0005195736885070801,0.00046825408935546875,0.00043064355850219727
572,0,9.834766387939453e-05,0.0003269314765930176,0.0002592802047729492
572,1,0.0012624859809875488,0.0008068680763244629,0.0009136199951171875
574,0,7.021427154541016e-05,4.9054622650146484e-05,4.1961669921875e-05
576,0,0.0033032894134521484,0.004138052463531494,0.003810703754425049
577,0,0.0001093149185180664,0.00010097026824951172,9.876489639282227e-05
579,0,7.271766662597656e-05,0.00022679567337036133,0.00015044212341308594
584,0,0.0002620816230773926,0.000710606575012207,0.0017668604850769043
593,0,0.0007886290550231934,0.0006492733955383301,0.0004838705062866211
