batch,slot,critic_r0,control_r0,critic_r1,control_r1,critic_r2,control_r2
218,0,0.00013566017150878906,0.00026607513427734375,5.984306335449219e-05,0.0002269148826599121,4.941225051879883e-05,0.0001035928726196289
220,0,0.025217056274414062,0.02147650718688965,0.020797550678253174,0.025547444820404053,0.02257394790649414,0.02322477102279663
224,0,0.0009440779685974121,0.000957489013671875,0.00034606456756591797,0.0008287429809570312,0.0012974143028259277,9.697675704956055e-05
231,0,0.00012683868408203125,0.00019925832748413086,0.0002256631851196289,0.00021195411682128906,0.00016939640045166016,0.00019443035125732422
237,0,0.0005232691764831543,0.0007154345512390137,0.0006464719772338867,0.0006723403930664062,0.0007942914962768555,0.0006113052368164062
240,0,0.00046318769454956055,0.0005631446838378906,0.0009955167770385742,0.00037491321563720703,0.0003622770309448242,0.0006811618804931641
241,0,0.004424393177032471,0.004117906093597412,0.004266083240509033,0.006012082099914551,0.0034524202346801758,0.0055348873138427734
242,0,0.00014978647232055664,0.0001442432403564453,0.00016260147094726562,6.389617919921875e-05,0.00017374753952026367,0.00013148784637451172
243,0,6.377696990966797e-06,9.715557098388672e-06,5.841255187988281e-06,1.0907649993896484e-05,6.318092346191406e-06,4.649162292480469e-06
244,0,0.0017653703689575195,0.0024375319480895996,0.0016124248504638672,0.0023186206817626953,0.0022314786911010742,0.002135157585144043
249,0,0.0028620362281799316,0.004707217216491699,0.00231248140335083,0.0020059943199157715,0.002556324005126953,0.0038352608680725098
252,0,0.0018798112869262695,0.0022193193435668945,0.0027180910110473633,0.0020949244499206543,0.0024462342262268066,0.002583742141723633
252,1,0.00013834238052368164,0.00011521577835083008,0.00011289119720458984,0.00011539459228515625,0.00010448694229125977,0.00013065338134765625
253,0,0.0010858774185180664,0.0011619329452514648,0.0013614296913146973,0.0012704133987426758,0.0013494491577148438,0.0011458396911621094
254,0,0.0007191896438598633,0.0010440349578857422,0.0009851455688476562,0.0008144378662109375,0.0007470250129699707,0.0009601712226867676
258,0,0.01820141077041626,0.014157235622406006,0.02084106206893921,0.0249783992767334,0.01806807518005371,0.02312546968460083
260,0,0.07192933559417725,0.08584296703338623,0.07088994979858398,0.08017659187316895,0.08413755893707275,0.07452774047851562
260,1,5.060434341430664e-05,0.0007033348083496094,0.00048345327377319336,0.0012118816375732422,7.450580596923828e-05,6.198883056640625e-05
262,0,0.0018934011459350586,0.0020140409469604492,0.0016350150108337402,0.0020470619201660156,0.0018126964569091797,0.0022234320640563965
266,0,0.0002671480178833008,0.0002815723419189453,0.00015616416931152344,0.0002524256706237793,0.00018668174743652344,0.0003249049186706543
274,0,0.0006340742111206055,0.0007684230804443359,0.0006507039070129395,0.0004913806915283203,0.0006555318832397461,0.0005414485931396484
276,0,0.0037298202514648438,0.0021829605102539062,0.003445148468017578,0.00242769718170166,0.0033165812492370605,0.0026457905769348145
281,0,0.003957688808441162,0.006636381149291992,0.006534993648529053,0.003408074378967285,0.005076169967651367,0.0045528411865234375
282,0,0.0002511143684387207,0.0004967451095581055,0.0006704330444335938,0.00039845705032348633,0.0006095767021179199,0.0006963610649108887
286,0,0.00027954578399658203,0.00038552284240722656,0.00032532215118408203,0.0001856684684753418,0.000538945198059082,0.00038301944732666016
287,0,0.00033664703369140625,0.00031244754791259766,0.0004488229751586914,0.00036835670471191406,8.994340896606445e-05,0.0004017353057861328
288,0,0.002479076385498047,0.0030124783515930176,0.0028769969940185547,0.0028911828994750977,0.0036530494689941406,0.003072023391723633
289,0,0.001172780990600586,0.0007544159889221191,0.0006407499313354492,0.0007035732269287109,0.0007790327072143555,0.0007426738739013672
291,0,0.0054787397384643555,0.00787508487701416,0.00614321231842041,0.005057394504547119,0.009028434753417969,0.007578849792480469
292,0,0.0013138651847839355,0.0018895864486694336,0.002450227737426758,0.0017876029014587402,0.002758622169494629,0.0013374686241149902
292,1,0.00023251771926879883,0.00020039081573486328,0.0002060532569885254,0.0001697540283203125,0.00029015541076660156,0.0002053976058959961
293,0,0.003967344760894775,0.003117680549621582,0.003311634063720703,0.0035982131958007812,0.003102719783782959,0.0034494400024414062
296,0,0.024685978889465332,0.029465079307556152,0.029935896396636963,0.02676260471343994,0.027879714965820312,0.02650630474090576
298,0,0.003134489059448242,0.002809762954711914,0.0027260780334472656,0.0026872754096984863,0.002971351146697998,0.0025506019592285156
300,0,0.001628279685974121,0.002171039581298828,0.0024510622024536133,0.002011597156524658,0.002203702926635742,0.0022714734077453613
304,0,0.0003333091735839844,0.00026851892471313477,0.00022357702255249023,0.0002561807632446289,0.0002976059913635254,0.00030672550201416016
312,0,0.0003395676612854004,0.00014472007751464844,0.00017249584197998047,0.00012969970703125,0.0001819133758544922,0.00015294551849365234
316,0,9.232759475708008e-05,9.375810623168945e-05,8.493661880493164e-05,0.00010371208190917969,9.369850158691406e-05,8.988380432128906e-05
318,0,5.441904067993164e-05,0.0001405477523803711,1.9729137420654297e-05,0.00010907649993896484,3.5643577575683594e-05,0.00014901161193847656
320,0,0.0009497404098510742,0.0012215971946716309,0.0014591813087463379,0.0008452534675598145,0.0012788772583007812,0.0011540651321411133
322,0,0.004672884941101074,0.004446268081665039,0.004318833351135254,0.004125058650970459,0.004167377948760986,0.004155516624450684
323,0,1.6391277313232422e-05,0.00011706352233886719,6.175041198730469e-05,0.00025975704193115234,0.0001665949821472168,0.00021970272064208984
324,0,0.002441883087158203,0.0028374195098876953,0.0030211210250854492,0.0028075575828552246,0.0036906003952026367,0.003370046615600586
327,0,0.0001233816146850586,0.00010919570922851562,0.00013184547424316406,0.00012385845184326172,0.00011432170867919922,0.00011599063873291016
329,0,0.00012820959091186523,0.00019174814224243164,0.0004381537437438965,0.00019806623458862305,0.0001939535140991211,0.00044471025466918945
331,0,0.0038121938705444336,0.004375874996185303,0.0045552849769592285,0.0039052963256835938,0.004571437835693359,0.004747986793518066
333,0,8.487701416015625e-05,0.00013875961303710938,0.00017112493515014648,0.0001246929168701172,0.0001838207244873047,0.00028192996978759766
334,0,0.0010781288146972656,0.0012404918670654297,0.0010299086570739746,0.001288771629333496,0.0011216402053833008,0.001007676124572754
334,1,0.00273972749710083,0.0030975341796875,0.0028737783432006836,0.00272446870803833,0.003041505813598633,0.0028882622718811035
